global_step,date,day_step,real_price,sim_price,best_bid,best_ask,spread_bps,imbalance,daily_sentiment,intraday_sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,total_volume,trade_count,fills_this_step
2520,2024-02-20,20,52258.82,56009.34780143212,56005.18768471412,56013.50791815013,1.4855080022548608,0.016462864099713363,0.44,0.2705779804811983,0.05737256341020722,0.15874730308727295,greed,8.441998046314223,91,7
2521,2024-02-20,21,52258.82,56009.654232677945,56005.18768471412,56014.120780641766,1.5949207417953786,0.018367396138142075,0.44,0.26389322789236347,0.05710628928725876,0.16762245491378,greed,9.097870386607877,95,4
2522,2024-02-20,22,52258.82,56013.08527966798,56012.04660239733,56014.12395693863,0.3708695086033975,0.022151739949075232,0.44,0.259533162199403,0.05251716794140234,0.1738077359160697,greed,9.755606625356126,101,6
2523,2024-02-20,23,52258.82,56013.45775202819,56012.04660239733,56014.86890165904,0.5038609246745668,0.02327125110442392,0.44,0.24210670854739882,0.05113596768746344,0.17126185739714697,greed,10.477611284070267,105,4
2524,2024-02-20,24,52258.82,56013.49203605375,56012.04660239733,56014.937469710174,0.5161019618247508,0.020792662901926766,0.44,0.24489378885593555,0.05899074874227304,0.16018586757392078,greed,11.172377256658972,109,4
2525,2024-02-20,25,52258.82,56014.68292815158,56012.04660239733,56017.319253905844,0.9412981084404369,0.02080812237257707,0.44,0.23658710656652848,0.0501300240207385,0.15257432315128316,greed,12.057670997938718,116,7
2526,2024-02-20,26,52258.82,56011.94793920094,56006.19893658866,56017.696941813214,2.0527772462105016,0.023673068378591518,0.44,0.23816518537072767,0.04131684329017309,0.16866500772520823,greed,13.128147726546882,123,7
2527,2024-02-20,27,52258.82,56014.81951695637,56011.437718039044,56018.20131587369,1.207465790833601,0.024917563102662275,0.44,0.2690363308066102,0.04561766546135199,0.17730665104230936,greed,13.767683584346129,127,4
2528,2024-02-20,28,52258.82,56017.8061758875,56017.4110359013,56018.20131587369,0.14107656588825634,0.024900607549320115,0.44,0.25467234438053016,0.042004637563525724,0.17796485157640896,greed,13.8393010497113,128,1
2529,2024-02-20,29,52258.82,56017.90252614937,56017.4110359013,56018.39401639745,0.1754761338465628,0.024003538386000788,0.44,0.2143437736452714,0.04161558427748687,0.16161873521025988,greed,15.151834843726618,134,6
2530,2024-02-20,30,52258.82,56020.6632241997,56017.4110359013,56023.9154124981,1.1610674030703971,0.025993743560879426,0.44,0.22173628146765073,0.041109678841358216,0.15853621830816167,greed,15.494801364765557,138,4
2531,2024-02-20,31,52258.82,56020.73506028338,56017.19055331745,56024.279567249316,1.2654267967453332,0.01828034832112099,0.44,0.27166795823035494,0.04159787375582722,0.17566457864087873,greed,16.657557094643874,147,9
2532,2024-02-20,32,52258.82,56024.715860284,56024.66100795311,56024.77071261489,0.01958147579958679,0.017452956706171308,0.44,0.2919563131400271,0.04132337443450362,0.15647814612060404,greed,17.1243884502191,150,3
2533,2024-02-20,33,52258.82,56024.715860284,56024.66100795311,56024.77071261489,0.01958147579958679,0.019477770063856238,0.44,0.25317987960366584,0.046248117953592634,0.1654314973953306,greed,17.404409162919976,153,3
2534,2024-02-20,34,52258.82,56020.88583248025,56017.00095234561,56024.77071261489,1.386939916036451,0.01816118164278574,0.44,0.27691668953652115,0.05217516650259106,0.16235346082457322,greed,17.87327326650343,160,7
2535,2024-02-20,35,52258.82,56020.96028645136,56017.00095234561,56024.919620557106,1.413518827775449,0.02061499858640501,0.44,0.2795093722818857,0.04829041658780362,0.17526498090184148,greed,18.154485686414205,163,3
2536,2024-02-20,36,52258.82,56021.08784301249,56017.00095234561,56025.174733679356,1.4590543754971694,0.024125387116974647,0.44,0.25089506513625587,0.057180926594133125,0.15230182115784618,greed,18.549004576809946,167,4
2537,2024-02-20,37,52258.82,56024.49741062871,56023.82008757806,56025.174733679356,0.24179531524697973,0.023925686454454514,0.44,0.25933155168344046,0.04990343184493333,0.16827667988308065,greed,18.60016949433177,168,1
2538,2024-02-20,38,52258.82,56024.93317179779,56023.82008757806,56026.04625601752,0.39735316285611216,0.024631172250581018,0.44,0.2744207226611428,0.046496482194971094,0.15076114464126947,greed,19.464195680979184,174,6
2539,2024-02-20,39,52258.82,56023.55597917542,56020.981471707404,56026.13048664343,0.9190803486196311,0.020164624059649198,0.44,0.24922859452563917,0.044295073316501656,0.17503421230387883,greed,20.3864961201821,181,7
2540,2024-02-20,40,52258.82,56022.54579910805,56017.43633882504,56027.65525939106,1.8240728657105425,0.01421398434718059,0.44,0.28043012123358313,0.05727246001839907,0.16114558725730718,greed,21.72562025501283,194,13
2541,2024-02-20,41,52258.82,56022.90803086013,56017.43633882504,56028.379722895224,1.9533766551629332,0.012941078831531429,0.44,0.2390973297170867,0.05550292155457189,0.16299240610806393,greed,22.37929212825628,199,5
2542,2024-02-20,42,52258.82,56022.69033762041,56017.00095234561,56028.379722895224,2.031100341850807,0.0123001064160121,0.44,0.23817155550159327,0.04622083410113968,0.1596003296774119,greed,22.760009219486655,204,5
2543,2024-02-20,43,52258.82,56023.525218754454,56018.670714613676,56028.379722895224,1.7330234474959918,0.010405914623805303,0.44,0.2324953201594386,0.05360317093517757,0.15174401373080484,greed,23.330366363073484,208,4
2544,2024-02-20,44,52258.82,56023.77679800254,56018.670714613676,56028.88288139139,1.822827263955803,0.011039909173827769,0.44,0.2168429361402886,0.057498666487012975,0.17576253777572676,greed,23.61470588754455,211,3
2545,2024-02-20,45,52258.82,56020.16029971522,56011.437718039044,56028.88288139139,3.1140866536289016,0.009172104627543443,0.44,0.23129899258541184,0.05404792285080854,0.1667119779805175,greed,24.220071839021156,218,7
2546,2024-02-20,46,52258.82,56017.55478490596,56012.987387721914,56022.12218209,1.6307020902936427,0.007424534896667205,0.44,0.2213245148093209,0.049707447424091014,0.16061717478770576,greed,24.522832976475147,222,4
2547,2024-02-20,47,52258.82,56016.77995006452,56011.437718039044,56022.12218209,1.907368481459209,0.0063160284222468,0.44,0.23807148381650067,0.04331755849325071,0.15448525918562087,greed,25.192640226793802,227,5
2548,2024-02-20,48,52258.82,56016.63250016701,56011.14281824402,56022.12218209,1.9600185437688868,0.00591122071961731,0.44,0.27306506789688406,0.04781434884509248,0.1783969152893623,greed,25.44035910521837,230,3
